state,county,year,cases,fips,size,prcp,avtemp
Alabama,Autauga County,2000,0,1001,43872,959.2705024719238,18.10082697868347
Alabama,Baldwin County,2000,1,1003,141358,1019.4288143869173,19.67102224543943
Alabama,Barbour County,2000,0,1005,29035,1005.5298515768612,18.07436923419728
Alabama,Bibb County,2000,0,1007,19936,993.697525516633,17.417446280038487
Alabama,Blount County,2000,0,1009,51181,1178.8186126059675,16.345661366239508
Alabama,Bullock County,2000,0,1011,11604,1068.4640751591435,17.66637658484188
Alabama,Butler County,2000,0,1013,21313,1019.1419146993886,18.65225075431492
Alabama,Calhoun County,2000,0,1015,111342,1004.1204863757622,16.09575405353453
Alabama,Chambers County,2000,0,1017,36593,1042.9925873145628,16.42727481113391
Alabama,Cherokee County,2000,0,1019,24053,1146.2874416775173,15.551998551686605
Alabama,Chilton County,2000,0,1021,39781,1000.8149075594815,17.388358844410288
Alabama,Choctaw County,2000,0,1023,15850,961.9136521833657,18.349176713149912
Alabama,Clarke County,2000,0,1025,27833,932.0647051642923,18.746761007869946
Alabama,Clay County,2000,0,1027,14264,1131.406889512804,15.985289414723715
Alabama,Cleburne County,2000,0,1029,14156,1074.1503405624562,15.302320201745195
Alabama,Coffee County,2000,0,1031,43540,980.4404072664222,18.95800224615603
Alabama,Colbert County,2000,0,1033,55024,1105.7552785349417,16.21952703496912
Alabama,Conecuh County,2000,0,1035,14040,1063.018495686849,18.698115634918214
Alabama,Coosa County,2000,0,1037,11843,1047.7597677541335,16.9362562534421
Alabama,Covington County,2000,0,1039,37490,1022.1224361218905,18.860618616405286
Alabama,Crenshaw County,2000,0,1041,13696,989.5134524390811,18.464243956974574
Alabama,Cullman County,2000,0,1043,77580,1273.9190101967201,16.181072810748677
Alabama,Dale County,2000,0,1045,49068,962.7314304896763,18.997370883396695
Alabama,Dallas County,2000,0,1047,46181,957.130068766276,18.331038004557293
Alabama,DeKalb County,2000,0,1049,64638,1214.191378252222,14.67753022745115
Alabama,Elmore County,2000,1,1051,66230,992.035749719498,17.593159513270603
Alabama,Escambia County,2000,0,1053,38402,1090.291016862199,19.008134236206878
Alabama,Etowah County,2000,0,1055,103313,1108.3521209716796,16.115329241752626
Alabama,Fayette County,2000,0,1057,18456,1104.1880045572916,16.471586079067656
Alabama,Franklin County,2000,0,1059,31208,1162.861203400985,16.294038482334305
Alabama,Geneva County,2000,0,1061,25790,1066.613882266774,18.870906403485467
Alabama,Greene County,2000,0,1063,9946,1036.7769478934151,17.76964283897763
Alabama,Hale County,2000,0,1065,18288,1033.473158023232,18.08624859860069
Alabama,Henry County,2000,0,1067,16344,940.9891446741616,18.794930853494783
Alabama,Houston County,2000,0,1069,88919,980.0964728860295,19.459013635971967
Alabama,Jackson County,2000,0,1071,54029,1380.2669476764959,14.865046751208421
Alabama,Jefferson County,2000,1,1073,662214,1122.9928449799743,17.13653315773493
Alabama,Lamar County,2000,0,1075,15905,1044.51083984375,16.719597354688144
Alabama,Lauderdale County,2000,0,1077,87982,1106.9537253639915,15.9259389964017
Alabama,Lawrence County,2000,0,1079,34856,1155.5346584875606,16.43308695080211
Alabama,Lee County,2000,0,1081,115511,1039.2651103626597,17.268195173957132
Alabama,Limestone County,2000,0,1083,65930,1182.7243367513022,15.945319451226128
Alabama,Lowndes County,2000,0,1085,13487,967.6132988683956,18.50157403454338
Alabama,Macon County,2000,0,1087,24075,1000.6525018865412,17.56185928258029
Alabama,Madison County,2000,0,1089,277868,1260.0958370782632,15.685259945624697
Alabama,Marengo County,2000,0,1091,22566,958.1432445629223,18.256963137033825
Alabama,Marion County,2000,0,1093,31149,1129.47706155216,16.122484814886953
Alabama,Marshall County,2000,0,1095,82333,1254.9924226459705,16.034380189996018
Alabama,Mobile County,2000,2,1097,400061,998.3773810977027,19.517945652916318
Alabama,Monroe County,2000,0,1099,24281,958.6220001220703,18.653620229448592
Alabama,Montgomery County,2000,0,1101,223413,939.4126718455348,18.291718302101923
Alabama,Morgan County,2000,0,1103,111194,1183.6457921808417,16.27785716273568
Alabama,Perry County,2000,0,1105,11808,1002.4889215207568,17.84020294862635
Alabama,Pickens County,2000,0,1107,20904,1071.0528214977633,17.374046048810406
Alabama,Pike County,2000,0,1109,29734,940.9209588857798,18.38423673923199
Alabama,Randolph County,2000,0,1111,22414,1042.1598782009548,15.674316865426523
Alabama,Russell County,2000,0,1113,49692,975.6905510870965,17.692953172620836
Alabama,St. Clair County,2000,0,1115,65079,1093.2401078073601,16.41994649987472
Alabama,Shelby County,2000,0,1117,144523,1043.3147451466527,17.342265392171925
Alabama,Sumter County,2000,0,1119,14748,1007.1817076148056,17.89505867066422
Alabama,Talladega County,2000,0,1121,80338,1020.0385210955584,16.640763494703506
Alabama,Tallapoosa County,2000,0,1123,41743,1093.0554413377192,16.63367909715887
Alabama,Tuscaloosa County,2000,1,1125,165191,1102.5057385896382,17.372330715781764
Alabama,Walker County,2000,0,1127,70680,1172.215329029521,16.58719877336846
Alabama,Washington County,2000,0,1129,18112,1015.3703944386999,18.90885557536206
Alabama,Wilcox County,2000,0,1131,12980,929.5458957045826,18.440559088294187
Alabama,Winston County,2000,0,1133,24882,1209.4354184468586,16.155419280131657
Arizona,Apache County,2000,0,4001,69516,293.590776186992,11.20327164812018
Arizona,Cochise County,2000,0,4003,118028,482.4558539636356,16.693582889823432
Arizona,Coconino County,2000,0,4005,116717,316.95464788481246,12.218878282623928
Arizona,Gila County,2000,0,4007,51355,473.8491171189569,15.573115406781652
Arizona,Graham County,2000,0,4009,33541,397.7070931813803,16.33843839024923
Arizona,Greenlee County,2000,0,4011,8542,435.09467721754504,13.841884238104667
Arizona,La Paz County,2000,0,4012,19643,98.81143997383415,22.39507026851457
Arizona,Maricopa County,2000,1,4013,3097378,225.52513004005178,21.842505732965293
Arizona,Mohave County,2000,0,4015,156194,211.19001510046593,17.456693695041945
Arizona,Navajo County,2000,0,4017,97876,254.88512122246527,12.404083941572456
Arizona,Pima County,2000,0,4019,848521,333.9219735935109,20.464227071501735
Arizona,Pinal County,2000,1,4021,181283,291.4720417570534,20.9209913585497
Arizona,Santa Cruz County,2000,0,4023,38542,606.582011132267,16.773166427399193
Arizona,Yavapai County,2000,0,4025,168886,399.1518204360712,15.72923713355768
Arizona,Yuma County,2000,0,4027,160675,73.28057107586547,22.861295799313464
Arkansas,Arkansas County,2000,0,5001,20672,1037.429931222576,17.169482962725915
Arkansas,Ashley County,2000,0,5003,24160,1336.1353447492731,17.425914084264473
Arkansas,Baxter County,2000,0,5005,38465,995.6314645162443,14.61855084721635
Arkansas,Benton County,2000,1,5007,154791,1133.191627564469,14.105103345421272
Arkansas,Boone County,2000,0,5009,34051,985.4480031866776,14.357735533463327
Arkansas,Bradley County,2000,0,5011,12603,1344.633662923177,16.982706536187067
Arkansas,Calhoun County,2000,0,5013,5717,1329.1913113064236,16.790085474650066
Arkansas,Carroll County,2000,0,5015,25411,1130.039046514602,14.349528267270042
Arkansas,Chicot County,2000,0,5017,14083,1299.9046872456868,17.91904826958974
Arkansas,Clark County,2000,0,5019,23508,1263.5822967044892,16.726019162980336
Arkansas,Clay County,2000,0,5021,17542,1034.6533368428547,15.049322505791983
Arkansas,Cleburne County,2000,0,5023,24113,1036.052210608194,15.480127378951671
Arkansas,Cleveland County,2000,0,5025,8544,1249.6937730577256,16.81048526763916
Arkansas,Columbia County,2000,0,5027,25564,1495.6388436376521,17.563398226172524
Arkansas,Conway County,2000,0,5029,20321,1064.659997832909,15.720408278904603
Arkansas,Craighead County,2000,0,5031,82518,1006.8941327560046,15.753054043478217
Arkansas,Crawford County,2000,0,5033,53376,1237.2214139687894,15.421843037460789
Arkansas,Crittenden County,2000,0,5035,50976,992.7974754872948,16.274048381381565
Arkansas,Cross County,2000,0,5037,19476,1012.7424451251362,15.94206835502802
Arkansas,Dallas County,2000,0,5039,9158,1262.3138029679008,16.638232272604238
Arkansas,Desha County,2000,0,5041,15306,1158.9362386067708,17.333528583885258
Arkansas,Drew County,2000,0,5043,18703,1285.9666649070946,17.316442987940334
Arkansas,Faulkner County,2000,0,5045,86456,1052.8530883789062,16.096768398874815
Arkansas,Franklin County,2000,0,5047,17747,1165.0682043868503,15.672280997372745
Arkansas,Fulton County,2000,0,5049,11655,962.496706334556,14.387533013413591
Arkansas,Garland County,2000,2,5051,88350,1153.9114599135316,16.407086224231904
Arkansas,Grant County,2000,0,5053,16488,1083.569561298077,16.769881447592933
Arkansas,Greene County,2000,0,5055,37504,1044.9644193427507,15.429873122725375
Arkansas,Hempstead County,2000,0,5057,23560,1390.210990679146,16.980684865819345
Arkansas,Hot Spring County,2000,0,5059,30383,1130.4605384744623,16.811016533964423
Arkansas,Howard County,2000,0,5061,14252,1390.457023458278,16.3975630009428
Arkansas,Independence County,2000,0,5063,34270,987.8473372920866,15.637311143259849
Arkansas,Izard County,2000,0,5065,13276,1054.5331781560724,14.965098955414511
Arkansas,Jackson County,2000,0,5067,18351,966.7114131761634,15.958381901616635
Arkansas,Jefferson County,2000,0,5069,84218,1071.6447080724379,17.07095004530514
Arkansas,Johnson County,2000,0,5071,22799,1147.3459442440826,15.259272292108818
Arkansas,Lafayette County,2000,0,5073,8527,1499.6929361979167,17.567556686401367
Arkansas,Lawrence County,2000,0,5075,17679,1129.2234139791349,15.445743921326429
Arkansas,Lee County,2000,0,5077,12528,930.3663323296441,16.55777269999186
Arkansas,Lincoln County,2000,0,5079,14474,1191.396557336566,17.181106808541834
Arkansas,Little River County,2000,0,5081,13610,1444.9698736728767,17.426798600416916
Arkansas,Logan County,2000,0,5083,22504,1011.2322720614346,16.231031036376955
Arkansas,Lonoke County,2000,0,5085,53124,981.4300839720654,16.74661299761604
Arkansas,Madison County,2000,0,5087,14296,1172.86818222172,14.4582785771898
Arkansas,Marion County,2000,0,5089,16156,969.4085250051398,14.598322346335964
Arkansas,Miller County,2000,1,5091,40434,1465.0898046400941,17.586746326928
Arkansas,Mississippi County,2000,0,5093,51827,1042.6091442108154,15.95371226221323
Arkansas,Monroe County,2000,0,5095,10179,974.9172426421067,16.621981763291632
Arkansas,Montgomery County,2000,0,5097,9270,1278.435307055448,15.844239690662485
Arkansas,Nevada County,2000,0,5099,9920,1370.8886075583837,17.134058265275854
Arkansas,Newton County,2000,1,5101,8647,1101.023024102219,14.226871835083521
Arkansas,Ouachita County,2000,0,5103,28685,1285.7643746681583,17.04074829990424
